Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
T-Bone Walker,Call It Stormy Monday (But Tuesday Is Just As Bad),4,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'rock-and-roll', 'texas blues', 'traditional blues']",Blues Origins,0.659,0.166,2,-14.523,0,0.0753,0.877,0.0502,0.101,0.345,49.32,1hHzQMnAtUudMmN2YN9tyq,spotify:track:1hHzQMnAtUudMmN2YN9tyq,https://api.spotify.com/v1/tracks/1hHzQMnAtUudMmN2YN9tyq,https://api.spotify.com/v1/audio-analysis/1hHzQMnAtUudMmN2YN9tyq,186973,4
Hayes McMullan,Goin' Away Mama Blues,23,['delta blues'],Delta Blues,0.701,0.205,3,-13.458,1,0.0582,0.959,0.00359,0.0716,0.839,101.734,2uMARFwLTasuuQ6cEChVBn,spotify:track:2uMARFwLTasuuQ6cEChVBn,https://api.spotify.com/v1/tracks/2uMARFwLTasuuQ6cEChVBn,https://api.spotify.com/v1/audio-analysis/2uMARFwLTasuuQ6cEChVBn,145853,4
Lucky Peterson,50 Years,31,"['blues', 'blues rock', 'electric blues', 'modern blues']",Got Blues,0.498,0.824,5,-7.832,0,0.132,0.0641,0.000112,0.18,0.549,157.04,0z1d5h194QHSRIk7tRNS9c,spotify:track:0z1d5h194QHSRIk7tRNS9c,https://api.spotify.com/v1/tracks/0z1d5h194QHSRIk7tRNS9c,https://api.spotify.com/v1/audio-analysis/0z1d5h194QHSRIk7tRNS9c,251627,4
Lazer Lloyd,Backstreets,40,[],Acoustic Blues,0.584,0.37,8,-7.313,1,0.0348,0.861,1.07E-05,0.108,0.073,136.012,5zxLOp4pDCfnJuMhZakq4f,spotify:track:5zxLOp4pDCfnJuMhZakq4f,https://api.spotify.com/v1/tracks/5zxLOp4pDCfnJuMhZakq4f,https://api.spotify.com/v1/audio-analysis/5zxLOp4pDCfnJuMhZakq4f,296082,4
Sylvester Weaver,Guitar Rag,36,['traditional blues'],Blues Origins,0.467,0.122,2,-22.241,1,0.0366,0.954,0.902,0.132,0.411,111.256,5xwCQuoGnPdgqw2omrgmCq,spotify:track:5xwCQuoGnPdgqw2omrgmCq,https://api.spotify.com/v1/tracks/5xwCQuoGnPdgqw2omrgmCq,https://api.spotify.com/v1/audio-analysis/5xwCQuoGnPdgqw2omrgmCq,178333,4
Allison Russell,Nightflyer,55,[],Blues Roots,0.482,0.333,2,-9.78,1,0.0636,0.705,0,0.106,0.414,73.271,2Y6JBUc0T7EW2VAA1p9acN,spotify:track:2Y6JBUc0T7EW2VAA1p9acN,https://api.spotify.com/v1/tracks/2Y6JBUc0T7EW2VAA1p9acN,https://api.spotify.com/v1/audio-analysis/2Y6JBUc0T7EW2VAA1p9acN,295547,4
Kenny Wayne Shepherd,Blue On Black - Live,32,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']",Live & Loud,0.339,0.69,7,-8.307,1,0.0306,0.00388,0.000987,0.983,0.421,154.623,63AX5OxRqJglmoB8A4Rt7R,spotify:track:63AX5OxRqJglmoB8A4Rt7R,https://api.spotify.com/v1/tracks/63AX5OxRqJglmoB8A4Rt7R,https://api.spotify.com/v1/audio-analysis/63AX5OxRqJglmoB8A4Rt7R,332653,4
Stevie Ray Vaughan,Life By The Drop,51,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",Acoustic Blues,0.659,0.163,6,-11.864,0,0.0388,0.766,1.41E-05,0.0735,0.473,95.882,1cyftogE58xHzSgb77zcsn,spotify:track:1cyftogE58xHzSgb77zcsn,https://api.spotify.com/v1/tracks/1cyftogE58xHzSgb77zcsn,https://api.spotify.com/v1/audio-analysis/1cyftogE58xHzSgb77zcsn,147507,4
The Milkshakes,Ida Honey (Tell Me You'll Be Mine),12,"['medway sound', 'punk blues', 'trash rock']",Punk Blues,0.474,0.683,2,-7.219,0,0.092,0.528,0,0.197,0.834,118.71,1cvo2lJ0ui4OQ0n5y3ZUZV,spotify:track:1cvo2lJ0ui4OQ0n5y3ZUZV,https://api.spotify.com/v1/tracks/1cvo2lJ0ui4OQ0n5y3ZUZV,https://api.spotify.com/v1/audio-analysis/1cvo2lJ0ui4OQ0n5y3ZUZV,135400,4
DARKSIDE,Paper Trails,55,"['downtempo', 'electronica']",Bluestronica,0.947,0.419,8,-13.043,0,0.0578,0.778,0.914,0.121,0.362,113.236,1DK2JuYarBeNwcLNPw1Qyo,spotify:track:1DK2JuYarBeNwcLNPw1Qyo,https://api.spotify.com/v1/tracks/1DK2JuYarBeNwcLNPw1Qyo,https://api.spotify.com/v1/audio-analysis/1DK2JuYarBeNwcLNPw1Qyo,289841,4
