Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
21 Savage,Spiral,63,"['atl hip hop', 'rap', 'trap']",No Cap,0.814,0.659,2,-4.475,1,0.0829,0.00155,0.0251,0.568,0.13,88.506,5YaMZfnTGCk6Ze3AxEcoaY,spotify:track:5YaMZfnTGCk6Ze3AxEcoaY,https://api.spotify.com/v1/tracks/5YaMZfnTGCk6Ze3AxEcoaY,https://api.spotify.com/v1/audio-analysis/5YaMZfnTGCk6Ze3AxEcoaY,171527,4
VIC MENSA,"SHELTER ft Wyclef Jean, ft Chance The Rapper",55,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",Mellow Bars,0.664,0.66,0,-5.284,1,0.291,0.181,2.23E-06,0.19,0.47,90.106,2nKaHCeL3e5DNl3P7eZ5uo,spotify:track:2nKaHCeL3e5DNl3P7eZ5uo,https://api.spotify.com/v1/tracks/2nKaHCeL3e5DNl3P7eZ5uo,https://api.spotify.com/v1/audio-analysis/2nKaHCeL3e5DNl3P7eZ5uo,261467,4
Pooh Shiesty,Welcome To The Riches (feat. Lil Baby),0,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",No Cap,0.842,0.4,11,-11.308,0,0.486,0.0457,0,0.172,0.205,130.018,3fcOx9hUmxuj6iGfkLZs3d,spotify:track:3fcOx9hUmxuj6iGfkLZs3d,https://api.spotify.com/v1/tracks/3fcOx9hUmxuj6iGfkLZs3d,https://api.spotify.com/v1/audio-analysis/3fcOx9hUmxuj6iGfkLZs3d,192052,4
Athletic Progression,Stepney Tale,37,"['aarhus indie', 'danish modern jazz', 'jazz rap']",Jazz Rap,0.632,0.8,5,-7.227,0,0.234,0.547,0,0.147,0.496,92.757,0P90OLiLpljHLYJnqZOK5h,spotify:track:0P90OLiLpljHLYJnqZOK5h,https://api.spotify.com/v1/tracks/0P90OLiLpljHLYJnqZOK5h,https://api.spotify.com/v1/audio-analysis/0P90OLiLpljHLYJnqZOK5h,209833,4
Ghetts,Fire and Brimstone,46,"['grime', 'uk alternative hip hop', 'uk hip hop']",Grime Shutdown,0.846,0.511,1,-8.116,1,0.263,0.0375,5.14E-06,0.147,0.346,136.964,2lyDT6B5SciPljZUBrNJCu,spotify:track:2lyDT6B5SciPljZUBrNJCu,https://api.spotify.com/v1/tracks/2lyDT6B5SciPljZUBrNJCu,https://api.spotify.com/v1/audio-analysis/2lyDT6B5SciPljZUBrNJCu,190773,4
Childish Major,Disrespectful,54,"['alternative r&b', 'trap soul', 'underground hip hop']",Get Turnt,0.924,0.5,5,-8.906,0,0.513,0.065,0,0.111,0.731,145.062,2ei1YRwttbDMc80SlVSHUQ,spotify:track:2ei1YRwttbDMc80SlVSHUQ,https://api.spotify.com/v1/tracks/2ei1YRwttbDMc80SlVSHUQ,https://api.spotify.com/v1/audio-analysis/2ei1YRwttbDMc80SlVSHUQ,137887,4
Hadag Nahash,חליפות,36,"['israeli hip hop', 'jewish hip hop']",This Is הדג נחש,0.812,0.617,9,-6.345,1,0.264,0.154,0,0.076,0.761,83.987,63cQxi2P9ZSdch9fQupppW,spotify:track:63cQxi2P9ZSdch9fQupppW,https://api.spotify.com/v1/tracks/63cQxi2P9ZSdch9fQupppW,https://api.spotify.com/v1/audio-analysis/63cQxi2P9ZSdch9fQupppW,262893,4
FMB DZ,War Zone (feat. Sada Baby),43,"['cali rap', 'detroit trap']",Out The Mud,0.639,0.834,2,-7.332,1,0.225,0.0284,0,0.333,0.338,92.484,4LYlhcPVPIAxjnfqY2Ic6k,spotify:track:4LYlhcPVPIAxjnfqY2Ic6k,https://api.spotify.com/v1/tracks/4LYlhcPVPIAxjnfqY2Ic6k,https://api.spotify.com/v1/audio-analysis/4LYlhcPVPIAxjnfqY2Ic6k,146651,4
Lakeyah,Young and Ratchet,62,['pop r&b'],Feelin' Myself,0.871,0.541,10,-8.64,0,0.512,0.169,0,0.0993,0.825,158.053,1O2vIEgUUDwzUpctAfeAlP,spotify:track:1O2vIEgUUDwzUpctAfeAlP,https://api.spotify.com/v1/tracks/1O2vIEgUUDwzUpctAfeAlP,https://api.spotify.com/v1/audio-analysis/1O2vIEgUUDwzUpctAfeAlP,152095,4
PRICE,Rank,39,[],Signed XOXO,0.748,0.746,7,-6.864,1,0.444,0.0182,0,0.714,0.774,202.157,50RSiB4ovD5vl794bneN3r,spotify:track:50RSiB4ovD5vl794bneN3r,https://api.spotify.com/v1/tracks/50RSiB4ovD5vl794bneN3r,https://api.spotify.com/v1/audio-analysis/50RSiB4ovD5vl794bneN3r,158018,4
Lund,Reckless,61,"['emo rap', 'pop rap', 'sad rap']",tear drop,0.461,0.467,0,-7.628,1,0.0586,0.00766,0,0.11,0.167,74.686,1CIxzzS0nVJNfk5wuN2MjM,spotify:track:1CIxzzS0nVJNfk5wuN2MjM,https://api.spotify.com/v1/tracks/1CIxzzS0nVJNfk5wuN2MjM,https://api.spotify.com/v1/audio-analysis/1CIxzzS0nVJNfk5wuN2MjM,206271,4
Tzukush,שלם,22,['israeli trap'],היפ הופ ישראלי חדש,0.792,0.61,9,-8.893,0,0.0798,0.642,4.85E-05,0.0936,0.562,116.796,2ILdIo8UZcmzkVfvHXHY7I,spotify:track:2ILdIo8UZcmzkVfvHXHY7I,https://api.spotify.com/v1/tracks/2ILdIo8UZcmzkVfvHXHY7I,https://api.spotify.com/v1/audio-analysis/2ILdIo8UZcmzkVfvHXHY7I,188718,4
The Kid LAROI,WITHOUT YOU (with Miley Cyrus),86,['australian hip hop'],tear drop,0.655,0.469,0,-6.257,1,0.0292,0.173,0,0.0956,0.467,92.56,1EHUQesfVKwbthtNcpBi9g,spotify:track:1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/tracks/1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/audio-analysis/1EHUQesfVKwbthtNcpBi9g,161385,4
Bobby Sessions,Gold Rolex (feat. Benny The Butcher & Freddie Gibbs),10,['dfw rap'],Mind Right,0.702,0.412,9,-11.929,0,0.257,0.209,0,0.132,0.671,85.201,26qmrHdW63w6sUfRLwmsb4,spotify:track:26qmrHdW63w6sUfRLwmsb4,https://api.spotify.com/v1/tracks/26qmrHdW63w6sUfRLwmsb4,https://api.spotify.com/v1/audio-analysis/26qmrHdW63w6sUfRLwmsb4,218072,4
Naughty By Nature,O.P.P,63,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'new jersey rap', 'pop rap', 'rap']",I Love My '90s Hip-Hop,0.848,0.838,4,-11.949,0,0.0723,0.0326,4.63E-06,0.124,0.774,97.735,3voxsfqnGr9V74jkkzPhXC,spotify:track:3voxsfqnGr9V74jkkzPhXC,https://api.spotify.com/v1/tracks/3voxsfqnGr9V74jkkzPhXC,https://api.spotify.com/v1/audio-analysis/3voxsfqnGr9V74jkkzPhXC,271067,4
Kota the Friend,Wolves,61,"['hip hop', 'rap', 'underground hip hop']",Mind Right,0.613,0.686,1,-5.75,1,0.107,0.0952,0,0.187,0.5,80.014,49nkBg3OJtp6m6TQPmG1Qw,spotify:track:49nkBg3OJtp6m6TQPmG1Qw,https://api.spotify.com/v1/tracks/49nkBg3OJtp6m6TQPmG1Qw,https://api.spotify.com/v1/audio-analysis/49nkBg3OJtp6m6TQPmG1Qw,233531,4
prettyboys,WINTER HOOKUP,36,[],tear drop,0.786,0.46,1,-8.028,1,0.241,0.438,2.35E-05,0.114,0.413,139.981,2aeYQJ6tbMjknoCw86plTV,spotify:track:2aeYQJ6tbMjknoCw86plTV,https://api.spotify.com/v1/tracks/2aeYQJ6tbMjknoCw86plTV,https://api.spotify.com/v1/audio-analysis/2aeYQJ6tbMjknoCw86plTV,174962,4
Lords Of The Underground,Funky Child,48,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'new jersey rap', 'rap', 'turntablism']",I Love My '90s Hip-Hop,0.859,0.635,10,-9.532,0,0.193,0.0356,0.00346,0.13,0.53,96.571,3UhwS81S9L7i2byZCrhSAv,spotify:track:3UhwS81S9L7i2byZCrhSAv,https://api.spotify.com/v1/tracks/3UhwS81S9L7i2byZCrhSAv,https://api.spotify.com/v1/audio-analysis/3UhwS81S9L7i2byZCrhSAv,271067,4
Hadag Nahash,כל הצ'וצ'ות,21,"['israeli hip hop', 'jewish hip hop']",This Is הדג נחש,0.763,0.869,10,-5.862,0,0.057,0.154,0.514,0.105,0.796,125.573,6xKjg0jrprNOPcQdLreM5H,spotify:track:6xKjg0jrprNOPcQdLreM5H,https://api.spotify.com/v1/tracks/6xKjg0jrprNOPcQdLreM5H,https://api.spotify.com/v1/audio-analysis/6xKjg0jrprNOPcQdLreM5H,258733,4
Asher Roth,Flowers On The Weekend,45,"['alternative hip hop', 'indie pop rap', 'pop rap', 'rap']",Jazz Rap,0.541,0.596,9,-6.487,1,0.39,0.568,0,0.172,0.6,80.469,2fymL9YLaFKDGMvVDzNGbQ,spotify:track:2fymL9YLaFKDGMvVDzNGbQ,https://api.spotify.com/v1/tracks/2fymL9YLaFKDGMvVDzNGbQ,https://api.spotify.com/v1/audio-analysis/2fymL9YLaFKDGMvVDzNGbQ,152227,4
Jackboy,Protecting My Energy,26,"['florida rap', 'southern hip hop', 'trap']",Most Necessary,0.871,0.454,9,-9.532,0,0.11,0.144,0,0.0916,0.393,97.012,56jKsf3VnjjtJCJ3iUAtnE,spotify:track:56jKsf3VnjjtJCJ3iUAtnE,https://api.spotify.com/v1/tracks/56jKsf3VnjjtJCJ3iUAtnE,https://api.spotify.com/v1/audio-analysis/56jKsf3VnjjtJCJ3iUAtnE,157557,4
D-Block Europe,Ferrari Horses,77,['uk hip hop'],No Cap,0.526,0.491,5,-9.147,0,0.196,0.558,0,0.186,0.336,128.093,5erCwioOcRwP59NJUAtEK3,spotify:track:5erCwioOcRwP59NJUAtEK3,https://api.spotify.com/v1/tracks/5erCwioOcRwP59NJUAtEK3,https://api.spotify.com/v1/audio-analysis/5erCwioOcRwP59NJUAtEK3,225906,4
Skiifall,Bentayga Dust,45,[],Who We Be,0.951,0.348,5,-13.05,0,0.574,0.572,2.01E-06,0.106,0.683,122.074,4ka6zxv0KbqWnNC1xIb06C,spotify:track:4ka6zxv0KbqWnNC1xIb06C,https://api.spotify.com/v1/tracks/4ka6zxv0KbqWnNC1xIb06C,https://api.spotify.com/v1/audio-analysis/4ka6zxv0KbqWnNC1xIb06C,169180,4
Ravid Plotnik,יאלה בואו! (נצ'י נצ'),28,"['israeli hip hop', 'israeli trap']",This Is רביד פלוטניק,0.443,0.851,1,-6.56,1,0.282,0.0202,0,0.461,0.481,81.804,7megzdoDMbVauP0J5HKN5c,spotify:track:7megzdoDMbVauP0J5HKN5c,https://api.spotify.com/v1/tracks/7megzdoDMbVauP0J5HKN5c,https://api.spotify.com/v1/audio-analysis/7megzdoDMbVauP0J5HKN5c,197213,4
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",78,"['pop rap', 'rap', 'trap']",Beats & Rhymes,0.792,0.707,7,-5.218,0,0.0623,0.116,0,0.12,0.408,134.997,2IePEfMAtqWS6rLXXFZIgI,spotify:track:2IePEfMAtqWS6rLXXFZIgI,https://api.spotify.com/v1/tracks/2IePEfMAtqWS6rLXXFZIgI,https://api.spotify.com/v1/audio-analysis/2IePEfMAtqWS6rLXXFZIgI,224042,4
Ravid Plotnik,יום חדש (נצ'י נצ'),47,"['israeli hip hop', 'israeli trap']",This Is רביד פלוטניק,0.633,0.59,7,-5.626,1,0.304,0.0363,0,0.16,0.32,85.015,3z2xDkd4Bz0y3Teh4RZOWz,spotify:track:3z2xDkd4Bz0y3Teh4RZOWz,https://api.spotify.com/v1/tracks/3z2xDkd4Bz0y3Teh4RZOWz,https://api.spotify.com/v1/audio-analysis/3z2xDkd4Bz0y3Teh4RZOWz,208653,4
Tierra Whack,Link,60,"['alternative r&b', 'escape room', 'indie soul']",Most Necessary,0.86,0.547,0,-10.638,1,0.0786,0.231,1.02E-06,0.146,0.467,150.074,11Yft9qfxqdK9sURatUNZ1,spotify:track:11Yft9qfxqdK9sURatUNZ1,https://api.spotify.com/v1/tracks/11Yft9qfxqdK9sURatUNZ1,https://api.spotify.com/v1/audio-analysis/11Yft9qfxqdK9sURatUNZ1,129505,4
Run–D.M.C.,My Adidas,48,"['east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'queens hip hop', 'rap']",I Love My '80s Hip-Hop,0.83,0.907,1,-8.508,1,0.2,0.000867,0,0.358,0.757,95.263,6LdpVTJzigyi2vbKe8mZAr,spotify:track:6LdpVTJzigyi2vbKe8mZAr,https://api.spotify.com/v1/tracks/6LdpVTJzigyi2vbKe8mZAr,https://api.spotify.com/v1/audio-analysis/6LdpVTJzigyi2vbKe8mZAr,167880,4
SAIAH,3NIGHTS (feat. guardin) [Remix],48,['emo rap'],tear drop,0.338,0.598,5,-6.341,1,0.106,0.112,0,0.135,0.484,80.759,3CbuiJ89E4gazRhtybqxOw,spotify:track:3CbuiJ89E4gazRhtybqxOw,https://api.spotify.com/v1/tracks/3CbuiJ89E4gazRhtybqxOw,https://api.spotify.com/v1/audio-analysis/3CbuiJ89E4gazRhtybqxOw,151147,4
Conway the Machine,200 Pies (feat. 2 Chainz),56,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'hardcore hip hop', 'hip hop', 'underground hip hop', 'upstate ny rap']",Mind Right,0.598,0.431,2,-12.261,1,0.358,0.701,1.48E-05,0.165,0.504,74.093,7FoLi3HouGfytmOekWmglN,spotify:track:7FoLi3HouGfytmOekWmglN,https://api.spotify.com/v1/tracks/7FoLi3HouGfytmOekWmglN,https://api.spotify.com/v1/audio-analysis/7FoLi3HouGfytmOekWmglN,265384,4
Rae Sremmurd,Unlock The Swag,44,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Beast Mode Hip-Hop,0.922,0.54,6,-5.917,0,0.0677,0.135,1.32E-05,0.0772,0.255,113.969,4sAyDtswbHLWyFJgUMt8hu,spotify:track:4sAyDtswbHLWyFJgUMt8hu,https://api.spotify.com/v1/tracks/4sAyDtswbHLWyFJgUMt8hu,https://api.spotify.com/v1/audio-analysis/4sAyDtswbHLWyFJgUMt8hu,322787,4
Tuna,כנפיים,42,"['israeli hip hop', 'israeli pop']",This Is טונה,0.6,0.563,2,-7.644,0,0.0907,0.387,3.02E-06,0.347,0.181,170.065,0VI3BydW1LdWubXt03R1kN,spotify:track:0VI3BydW1LdWubXt03R1kN,https://api.spotify.com/v1/tracks/0VI3BydW1LdWubXt03R1kN,https://api.spotify.com/v1/audio-analysis/0VI3BydW1LdWubXt03R1kN,333256,4
Arrested Youth,Leave My Casket Open...,53,"['modern alternative rock', 'modern rock']",tear drop,0.571,0.652,2,-7.541,1,0.0477,0.0851,0.0234,0.0674,0.237,85.004,44boFMUCUCPd0R41jk8vE8,spotify:track:44boFMUCUCPd0R41jk8vE8,https://api.spotify.com/v1/tracks/44boFMUCUCPd0R41jk8vE8,https://api.spotify.com/v1/audio-analysis/44boFMUCUCPd0R41jk8vE8,164332,4
Moneybagg Yo,Wockesha,75,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",RapCaviar,0.582,0.537,0,-9.229,1,0.619,0.129,0,0.0749,0.771,82.103,0nqhKXDjsyBMvbeWmgijD0,spotify:track:0nqhKXDjsyBMvbeWmgijD0,https://api.spotify.com/v1/tracks/0nqhKXDjsyBMvbeWmgijD0,https://api.spotify.com/v1/audio-analysis/0nqhKXDjsyBMvbeWmgijD0,180930,4
Trick Daddy,Take It to da House,54,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip-Hop Drive,0.935,0.78,6,-5.795,0,0.197,0.0158,0,0.164,0.918,123.895,1wLhwzPAtze5JT8qqXlqaO,spotify:track:1wLhwzPAtze5JT8qqXlqaO,https://api.spotify.com/v1/tracks/1wLhwzPAtze5JT8qqXlqaO,https://api.spotify.com/v1/audio-analysis/1wLhwzPAtze5JT8qqXlqaO,226160,4
Drake,What’s Next,87,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Beast Mode Hip-Hop,0.781,0.594,0,-6.959,0,0.0485,0.0136,0,0.162,0.0628,129.895,3aQem4jVGdhtg116TmJnHz,spotify:track:3aQem4jVGdhtg116TmJnHz,https://api.spotify.com/v1/tracks/3aQem4jVGdhtg116TmJnHz,https://api.spotify.com/v1/audio-analysis/3aQem4jVGdhtg116TmJnHz,178154,4
ShrekDiMC,עם האחים,29,"['israeli hip hop', 'israeli trap']",טראפ ישראלי,0.663,0.767,1,-4.149,1,0.215,0.133,0,0.0777,0.619,137.569,5UbZaKID1uKIhOuwQ0uOXD,spotify:track:5UbZaKID1uKIhOuwQ0uOXD,https://api.spotify.com/v1/tracks/5UbZaKID1uKIhOuwQ0uOXD,https://api.spotify.com/v1/audio-analysis/5UbZaKID1uKIhOuwQ0uOXD,253913,4
Busta Rhymes,True Indeed,42,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",Spilled Ink,0.417,0.945,2,-2.639,1,0.357,0.000367,0,0.249,0.805,177.645,60VgKrIVA9iyq27h7PQw8H,spotify:track:60VgKrIVA9iyq27h7PQw8H,https://api.spotify.com/v1/tracks/60VgKrIVA9iyq27h7PQw8H,https://api.spotify.com/v1/audio-analysis/60VgKrIVA9iyq27h7PQw8H,113120,4
Axum,הדיבור,11,"['israeli hip hop', 'jewish hip hop']",This Is פלד,0.849,0.78,4,-4.754,0,0.252,0.158,0,0.813,0.815,95.002,39XQxhm5sZ7zSk19VBTrcG,spotify:track:39XQxhm5sZ7zSk19VBTrcG,https://api.spotify.com/v1/tracks/39XQxhm5sZ7zSk19VBTrcG,https://api.spotify.com/v1/audio-analysis/39XQxhm5sZ7zSk19VBTrcG,262347,4
Atar Mayner,לתת לך,33,"['israeli hip hop', 'israeli trap']",טראפ ישראלי,0.587,0.624,6,-5.6,1,0.0344,0.197,4.23E-06,0.266,0.175,99.964,6Nbo5kMP4jpbdFfTmmSg8X,spotify:track:6Nbo5kMP4jpbdFfTmmSg8X,https://api.spotify.com/v1/tracks/6Nbo5kMP4jpbdFfTmmSg8X,https://api.spotify.com/v1/audio-analysis/6Nbo5kMP4jpbdFfTmmSg8X,236627,4
Tone-Loc,Wild Thing,59,"['hip house', 'rap']",I Love My '80s Hip-Hop,0.943,0.685,7,-11.903,1,0.188,0.000507,8.56E-06,0.0604,0.813,125.515,0gljI0CtjpdZK6ecidfxto,spotify:track:0gljI0CtjpdZK6ecidfxto,https://api.spotify.com/v1/tracks/0gljI0CtjpdZK6ecidfxto,https://api.spotify.com/v1/audio-analysis/0gljI0CtjpdZK6ecidfxto,263573,4
FCG Heem,Beef (feat. Pooh Shiesty),46,['florida rap'],Most Necessary,0.701,0.54,1,-7.43,0,0.201,0.55,0,0.108,0.683,84.967,2ViQnwjYc0nV9132JrLkHX,spotify:track:2ViQnwjYc0nV9132JrLkHX,https://api.spotify.com/v1/tracks/2ViQnwjYc0nV9132JrLkHX,https://api.spotify.com/v1/audio-analysis/2ViQnwjYc0nV9132JrLkHX,225879,4
Man Parrish,Boogie Down Bronx,36,['electro'],I Love My '80s Hip-Hop,0.862,0.639,10,-14.938,0,0.0917,0.376,0.0702,0.162,0.469,111.839,2CbgPrMwa0UWUdppsOIoTR,spotify:track:2CbgPrMwa0UWUdppsOIoTR,https://api.spotify.com/v1/tracks/2CbgPrMwa0UWUdppsOIoTR,https://api.spotify.com/v1/audio-analysis/2CbgPrMwa0UWUdppsOIoTR,318680,4
SpotemGottem,Federal,55,"['florida rap', 'viral rap']",Out The Mud,0.723,0.616,5,-6.224,0,0.428,0.265,0,0.106,0.411,81.914,55C4rPaJYVm0nOsb8Xrm80,spotify:track:55C4rPaJYVm0nOsb8Xrm80,https://api.spotify.com/v1/tracks/55C4rPaJYVm0nOsb8Xrm80,https://api.spotify.com/v1/audio-analysis/55C4rPaJYVm0nOsb8Xrm80,128832,4
Hardy Caprio,Million Rings,59,"['afroswing', 'grime', 'uk hip hop']",Who We Be,0.582,0.492,8,-10.138,0,0.332,0.381,0,0.128,0.59,86.804,3xPIndCsBuz27cLygsUhSB,spotify:track:3xPIndCsBuz27cLygsUhSB,https://api.spotify.com/v1/tracks/3xPIndCsBuz27cLygsUhSB,https://api.spotify.com/v1/audio-analysis/3xPIndCsBuz27cLygsUhSB,162104,5
Cashh,Double Tap / Mexican Wave,48,['uk hip hop'],Rap UK,0.85,0.59,5,-7.374,0,0.409,0.264,1.17E-06,0.197,0.425,135.127,2lRZEHRY2V3PxRpPKDjSXG,spotify:track:2lRZEHRY2V3PxRpPKDjSXG,https://api.spotify.com/v1/tracks/2lRZEHRY2V3PxRpPKDjSXG,https://api.spotify.com/v1/audio-analysis/2lRZEHRY2V3PxRpPKDjSXG,188444,4
YG,Bompton to Oak Park,0,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Westside Story,0.76,0.658,10,-8.788,0,0.403,0.0296,0,0.111,0.577,89.063,03xJkJttsHLaqUtzbt5wsq,spotify:track:03xJkJttsHLaqUtzbt5wsq,https://api.spotify.com/v1/tracks/03xJkJttsHLaqUtzbt5wsq,https://api.spotify.com/v1/audio-analysis/03xJkJttsHLaqUtzbt5wsq,164494,4
Hadag Nahash,רציתי שתדע,22,"['israeli hip hop', 'jewish hip hop']",This Is הדג נחש,0.515,0.827,8,-3.878,1,0.0888,0.0315,0.000252,0.0936,0.44,92.336,7wOwXtF76hFxu7eed88ad3,spotify:track:7wOwXtF76hFxu7eed88ad3,https://api.spotify.com/v1/tracks/7wOwXtF76hFxu7eed88ad3,https://api.spotify.com/v1/audio-analysis/7wOwXtF76hFxu7eed88ad3,346920,4
Latto,Step It Up,59,"['pop', 'pop r&b', 'r&b', 'trap queen']",Women of Hip-Hop,0.961,0.617,11,-5.76,1,0.344,0.26,0,0.149,0.734,125.009,4tpSjqtLO12aIUHcSBR9rp,spotify:track:4tpSjqtLO12aIUHcSBR9rp,https://api.spotify.com/v1/tracks/4tpSjqtLO12aIUHcSBR9rp,https://api.spotify.com/v1/audio-analysis/4tpSjqtLO12aIUHcSBR9rp,161280,4
44phantom,gray!,56,['sad rap'],tear drop,0.785,0.69,0,-6.363,1,0.0561,0.0334,0,0.151,0.644,118.091,5qQTnPNyBrOxHdDQ8W1sRF,spotify:track:5qQTnPNyBrOxHdDQ8W1sRF,https://api.spotify.com/v1/tracks/5qQTnPNyBrOxHdDQ8W1sRF,https://api.spotify.com/v1/audio-analysis/5qQTnPNyBrOxHdDQ8W1sRF,143320,4
