Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Myrkur,Ella,42,"['autonomous black metal', 'avant-garde metal', 'danish black metal', 'danish metal', 'gaian doom', 'medieval folk', 'post-black metal', 'rune folk']",Northern Spirits,0.24,0.313,5,-11.476,1,0.033,0.791,0.000156,0.176,0.131,101.673,6QXieDRlH4Ofjg864USffV,spotify:track:6QXieDRlH4Ofjg864USffV,https://api.spotify.com/v1/tracks/6QXieDRlH4Ofjg864USffV,https://api.spotify.com/v1/audio-analysis/6QXieDRlH4Ofjg864USffV,234923,3
Monuments,Deadnest,51,['djent'],Kickass Metal,0.445,0.968,6,-2.563,1,0.207,1.29E-05,9.99E-06,0.338,0.326,114.92,3IC74qNKqXdeydqyS1J5z5,spotify:track:3IC74qNKqXdeydqyS1J5z5,https://api.spotify.com/v1/tracks/3IC74qNKqXdeydqyS1J5z5,https://api.spotify.com/v1/audio-analysis/3IC74qNKqXdeydqyS1J5z5,207391,4
The Southern Oracle,Prisoner,20,"['hungarian metal', 'magyar alternative']",Thrashers,0.51,0.989,1,-3.66,0,0.376,0.000124,6.20E-05,0.41,0.371,99.889,4ykGftnKT3rol4IfnE1pHw,spotify:track:4ykGftnKT3rol4IfnE1pHw,https://api.spotify.com/v1/tracks/4ykGftnKT3rol4IfnE1pHw,https://api.spotify.com/v1/audio-analysis/4ykGftnKT3rol4IfnE1pHw,141400,4
Insomnium,The Reticent,0,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",New Metal Tracks,0.498,0.833,7,-8.872,0,0.0405,0.000165,0.0497,0.123,0.121,117.962,07PFzxEUNcMIwghKcrFGgF,spotify:track:07PFzxEUNcMIwghKcrFGgF,https://api.spotify.com/v1/tracks/07PFzxEUNcMIwghKcrFGgF,https://api.spotify.com/v1/audio-analysis/07PFzxEUNcMIwghKcrFGgF,272616,4
Galleons,Playing With Fire is Such a Cliché,42,"['progressive post-hardcore', 'swancore']",New Metal Tracks,0.471,0.925,7,-4.633,1,0.0598,0.000254,2.65E-05,0.356,0.0768,100.012,4c1iQXXJundtYEWroDRku7,spotify:track:4c1iQXXJundtYEWroDRku7,https://api.spotify.com/v1/tracks/4c1iQXXJundtYEWroDRku7,https://api.spotify.com/v1/audio-analysis/4c1iQXXJundtYEWroDRku7,303000,4
Powerwolf,Beast of Gévaudan,17,"['german metal', 'german power metal', 'metal', 'power metal']",New Metal Tracks,0.463,0.962,1,-5.697,0,0.0712,0.000761,0,0.239,0.188,109.899,1i0fcF53lHffHnDxM293On,spotify:track:1i0fcF53lHffHnDxM293On,https://api.spotify.com/v1/tracks/1i0fcF53lHffHnDxM293On,https://api.spotify.com/v1/audio-analysis/1i0fcF53lHffHnDxM293On,211893,4
Amberian Dawn,Lay All Your Love on Me,41,"['finnish power metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'power metal', 'slayer', 'symphonic metal', 'symphonic power metal']",Metal Covers,0.557,0.954,11,-4.318,0,0.034,0.000454,0.00111,0.0916,0.57,134.972,7pQkSNKRQgaN9HdlMvf2NP,spotify:track:7pQkSNKRQgaN9HdlMvf2NP,https://api.spotify.com/v1/tracks/7pQkSNKRQgaN9HdlMvf2NP,https://api.spotify.com/v1/audio-analysis/7pQkSNKRQgaN9HdlMvf2NP,233472,4
Ephemerald,No Fall Is Too Deep,19,"['finnish metal', 'melodic death metal']",New Blood,0.247,0.899,2,-7.322,1,0.0716,2.48E-06,0.0717,0.188,0.0399,180.087,5nuX6NXiewtyflOf2hkuGP,spotify:track:5nuX6NXiewtyflOf2hkuGP,https://api.spotify.com/v1/tracks/5nuX6NXiewtyflOf2hkuGP,https://api.spotify.com/v1/audio-analysis/5nuX6NXiewtyflOf2hkuGP,294832,4
Guns N' Roses,Welcome To The Jungle,78,"['glam metal', 'hard rock', 'rock']",Metal Empire,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,0bVtevEgtDIeRjCJbK3Lmv,spotify:track:0bVtevEgtDIeRjCJbK3Lmv,https://api.spotify.com/v1/tracks/0bVtevEgtDIeRjCJbK3Lmv,https://api.spotify.com/v1/audio-analysis/0bVtevEgtDIeRjCJbK3Lmv,272027,4
John Diva & the Rockets of Love,American Amadeus,29,"['modern hard rock', 'new wave of glam metal']",Hard Rock,0.446,0.973,1,-4.111,1,0.0539,0.0156,1.81E-06,0.322,0.52,169.998,5xJ3qPv0iq82Wrk7ibZRAV,spotify:track:5xJ3qPv0iq82Wrk7ibZRAV,https://api.spotify.com/v1/tracks/5xJ3qPv0iq82Wrk7ibZRAV,https://api.spotify.com/v1/audio-analysis/5xJ3qPv0iq82Wrk7ibZRAV,240840,4
Abandoned In Destiny,Monsters,28,[],New Metal Tracks,0.468,0.932,10,-4.85,0,0.0652,0.00026,0,0.508,0.422,137.964,1qM8OTOcwifW9kFT51jhmm,spotify:track:1qM8OTOcwifW9kFT51jhmm,https://api.spotify.com/v1/tracks/1qM8OTOcwifW9kFT51jhmm,https://api.spotify.com/v1/audio-analysis/1qM8OTOcwifW9kFT51jhmm,239565,4
Liquorworks,Then To Hell With You,29,"['djent', 'instrumental rock']",Instrumental Madness,0.419,0.894,8,-5.223,0,0.068,0.0007,0.931,0.156,0.16,154.982,1rrh2Aqj7390GGeGIcDuel,spotify:track:1rrh2Aqj7390GGeGIcDuel,https://api.spotify.com/v1/tracks/1rrh2Aqj7390GGeGIcDuel,https://api.spotify.com/v1/audio-analysis/1rrh2Aqj7390GGeGIcDuel,442907,4
Trash Boat,Silence Is Golden,55,"['alternative emo', 'anthem emo', 'melodic hardcore', 'pop punk', 'uk pop punk']",New Core,0.463,0.908,10,-4.373,0,0.0756,0.00893,2.82E-06,0.366,0.459,99.993,2zzFhg5DPpfw6Fx6SUWGLf,spotify:track:2zzFhg5DPpfw6Fx6SUWGLf,https://api.spotify.com/v1/tracks/2zzFhg5DPpfw6Fx6SUWGLf,https://api.spotify.com/v1/audio-analysis/2zzFhg5DPpfw6Fx6SUWGLf,204745,4
A Day To Remember,Last Chance To Dance (Bad Friend),66,"['metalcore', 'pop punk', 'screamo']",New Core,0.308,0.916,4,-4.13,0,0.0875,2.02E-05,0,0.322,0.68,122.231,0o49yIEUZUoCTJ1qRnqFUO,spotify:track:0o49yIEUZUoCTJ1qRnqFUO,https://api.spotify.com/v1/tracks/0o49yIEUZUoCTJ1qRnqFUO,https://api.spotify.com/v1/audio-analysis/0o49yIEUZUoCTJ1qRnqFUO,185733,4
GAUPA,Febersvan,43,['dalarna indie'],Stoner Rock,0.312,0.634,6,-6.839,1,0.0307,0.00117,0.882,0.103,0.0788,130.424,4mN4IKOVpFTidgCc1I60Xw,spotify:track:4mN4IKOVpFTidgCc1I60Xw,https://api.spotify.com/v1/tracks/4mN4IKOVpFTidgCc1I60Xw,https://api.spotify.com/v1/audio-analysis/4mN4IKOVpFTidgCc1I60Xw,447681,4
Napalm Death,Nazi Punks Fuck Off,35,"['alternative metal', 'birmingham metal', 'british death metal', 'british grindcore', 'brutal death metal', 'death metal', 'deathgrind', 'grindcore', 'metal']",Deep Dive - 90s Metal,0.261,0.977,5,-5.878,0,0.0886,0.000152,0.00165,0.0769,0.316,95.847,5FUCZUiW0cE1t9iCWbQPWE,spotify:track:5FUCZUiW0cE1t9iCWbQPWE,https://api.spotify.com/v1/tracks/5FUCZUiW0cE1t9iCWbQPWE,https://api.spotify.com/v1/audio-analysis/5FUCZUiW0cE1t9iCWbQPWE,80787,4
Four Stroke Baron,Lunatic Fringe,19,[],Progressive Metal,0.494,0.805,1,-8.241,0,0.0815,9.93E-05,0.0327,0.485,0.287,98.001,5aFvQjdc3KvJEvUkEHI7TL,spotify:track:5aFvQjdc3KvJEvUkEHI7TL,https://api.spotify.com/v1/tracks/5aFvQjdc3KvJEvUkEHI7TL,https://api.spotify.com/v1/audio-analysis/5aFvQjdc3KvJEvUkEHI7TL,253000,4
Uniform,Life in Remission,24,"['dub metal', 'nyc metal', 'post-doom metal']",The oTHERS,0.111,0.744,7,-5.941,1,0.129,3.82E-05,0.915,0.0714,0.0246,170.344,0kVQ33i1yh6uNwcjmtvaXQ,spotify:track:0kVQ33i1yh6uNwcjmtvaXQ,https://api.spotify.com/v1/tracks/0kVQ33i1yh6uNwcjmtvaXQ,https://api.spotify.com/v1/audio-analysis/0kVQ33i1yh6uNwcjmtvaXQ,265947,4
