Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Prides,A Wilder Heart - Acoustic,40,[],Acoustic Hits,0.44,0.339,0,-8.191,1,0.0381,0.672,0,0.0933,0.353,110.063,4AF9tkZUxzpvTz8FfJ61ZS,spotify:track:4AF9tkZUxzpvTz8FfJ61ZS,https://api.spotify.com/v1/tracks/4AF9tkZUxzpvTz8FfJ61ZS,https://api.spotify.com/v1/audio-analysis/4AF9tkZUxzpvTz8FfJ61ZS,241562,5
Sam Smith,Diamonds - Acoustic,59,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Hot Acoustics,0.489,0.284,10,-8.699,0,0.0508,0.841,0,0.137,0.335,186.337,4y8OZW2dyWRobsi2w0C64W,spotify:track:4y8OZW2dyWRobsi2w0C64W,https://api.spotify.com/v1/tracks/4y8OZW2dyWRobsi2w0C64W,https://api.spotify.com/v1/audio-analysis/4y8OZW2dyWRobsi2w0C64W,194542,4
The Polar Boys,Let Go,35,['miami indie'],Bedroom Pop,0.581,0.833,3,-6.509,1,0.0547,0.114,3.90E-05,0.0748,0.557,170.039,2bpLqoucf7nznaYYbsnw8H,spotify:track:2bpLqoucf7nznaYYbsnw8H,https://api.spotify.com/v1/tracks/2bpLqoucf7nznaYYbsnw8H,https://api.spotify.com/v1/audio-analysis/2bpLqoucf7nznaYYbsnw8H,207238,4
Ginger Root,Weather,46,['oc indie'],Bedroom Pop,0.726,0.817,11,-6.397,0,0.0334,0.399,0.178,0.0871,0.501,126.977,2D3gvohUyOfXIVX6Mvhqae,spotify:track:2D3gvohUyOfXIVX6Mvhqae,https://api.spotify.com/v1/tracks/2D3gvohUyOfXIVX6Mvhqae,https://api.spotify.com/v1/audio-analysis/2D3gvohUyOfXIVX6Mvhqae,222976,4
Noa Kirel,'פאוץ,49,['israeli pop'],EQUAL Israel,0.795,0.658,7,-6.896,0,0.057,0.233,0.0883,0.247,0.786,139.917,1Hg89hDeCCUxG2w57pEOyq,spotify:track:1Hg89hDeCCUxG2w57pEOyq,https://api.spotify.com/v1/tracks/1Hg89hDeCCUxG2w57pEOyq,https://api.spotify.com/v1/audio-analysis/1Hg89hDeCCUxG2w57pEOyq,167108,4
ILIRA,Dynamite,74,['albanian pop'],just hits,0.761,0.821,8,-5.238,1,0.202,0.185,0,0.0692,0.388,108.13,3HqQpSTLHJRKDhulVacRFb,spotify:track:3HqQpSTLHJRKDhulVacRFb,https://api.spotify.com/v1/tracks/3HqQpSTLHJRKDhulVacRFb,https://api.spotify.com/v1/audio-analysis/3HqQpSTLHJRKDhulVacRFb,125879,4
Katy Perry,Smile,70,"['dance pop', 'pop', 'post-teen pop']",להיטי קיץ,0.783,0.912,0,-3.713,1,0.243,0.0238,0,0.339,0.749,98.025,3DXdjHnePKnh6oXw2ZgGSl,spotify:track:3DXdjHnePKnh6oXw2ZgGSl,https://api.spotify.com/v1/tracks/3DXdjHnePKnh6oXw2ZgGSl,https://api.spotify.com/v1/audio-analysis/3DXdjHnePKnh6oXw2ZgGSl,166898,4
Eden Hason,גדל לי קצת זקן,60,['israeli mediterranean'],הלהיטים הגדולים של ישראל,0.671,0.472,8,-7.898,0,0.0344,0.875,0,0.124,0.663,139.748,7kJ3RSCzrosxxkNgJtQ53v,spotify:track:7kJ3RSCzrosxxkNgJtQ53v,https://api.spotify.com/v1/tracks/7kJ3RSCzrosxxkNgJtQ53v,https://api.spotify.com/v1/audio-analysis/7kJ3RSCzrosxxkNgJtQ53v,197500,4
Stephen Puth,Crying My Eyes Out - Acoustic,46,[],Hot Acoustics,0.713,0.305,8,-9.626,1,0.0299,0.799,0,0.304,0.876,104.006,73ez4MUeIzT35JfhYoPYxZ,spotify:track:73ez4MUeIzT35JfhYoPYxZ,https://api.spotify.com/v1/tracks/73ez4MUeIzT35JfhYoPYxZ,https://api.spotify.com/v1/audio-analysis/73ez4MUeIzT35JfhYoPYxZ,170905,4
morgxn,PORCELAIN,41,"['indie poptimism', 'la pop', 'modern alternative rock']",Out Now,0.608,0.68,0,-4.691,1,0.0336,0.00035,0,0.257,0.255,119.995,7poupEIC9Waxze2OHxiV5r,spotify:track:7poupEIC9Waxze2OHxiV5r,https://api.spotify.com/v1/tracks/7poupEIC9Waxze2OHxiV5r,https://api.spotify.com/v1/audio-analysis/7poupEIC9Waxze2OHxiV5r,220653,4
