Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
James,Laid,66,"['britpop', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",Alternative 90s,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,2CdS3DRqWR5LAhy4hM5X9W,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,156667,4
grandson,In Over My Head,60,"['modern alternative rock', 'modern rock', 'rock']",Alternative Beats,0.582,0.817,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124,3r0mb1tzAcCNoA8YRXuIhZ,spotify:track:3r0mb1tzAcCNoA8YRXuIhZ,https://api.spotify.com/v1/tracks/3r0mb1tzAcCNoA8YRXuIhZ,https://api.spotify.com/v1/audio-analysis/3r0mb1tzAcCNoA8YRXuIhZ,198366,4
Foals,On The Luna,51,"['alternative dance', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",Alternative 10s,0.525,0.976,0,-2.023,1,0.0479,0.0662,0.000392,0.0804,0.855,138.984,0Sfj5fPqZzCq9o3f1NNphz,spotify:track:0Sfj5fPqZzCq9o3f1NNphz,https://api.spotify.com/v1/tracks/0Sfj5fPqZzCq9o3f1NNphz,https://api.spotify.com/v1/audio-analysis/0Sfj5fPqZzCq9o3f1NNphz,192695,4
Longpigs,She Said,47,"['britpop', 'sheffield indie']",Alternative 90s,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352,5J7l2wE9wxqod7xIP0jyAB,spotify:track:5J7l2wE9wxqod7xIP0jyAB,https://api.spotify.com/v1/tracks/5J7l2wE9wxqod7xIP0jyAB,https://api.spotify.com/v1/audio-analysis/5J7l2wE9wxqod7xIP0jyAB,264067,4
Beastie Boys,Sure Shot,57,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock']",Alternative 90s,0.692,0.799,1,-7.924,1,0.164,0.388,0,0.301,0.549,97.978,21REQ1bCUWphT2QK3bLWYQ,spotify:track:21REQ1bCUWphT2QK3bLWYQ,https://api.spotify.com/v1/tracks/21REQ1bCUWphT2QK3bLWYQ,https://api.spotify.com/v1/audio-analysis/21REQ1bCUWphT2QK3bLWYQ,199667,4
Castaways,"Liar, Liar",40,[],Alternative 60s,0.525,0.623,7,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583,3LNgoqv3AboDUhnuWrrzSF,spotify:track:3LNgoqv3AboDUhnuWrrzSF,https://api.spotify.com/v1/tracks/3LNgoqv3AboDUhnuWrrzSF,https://api.spotify.com/v1/audio-analysis/3LNgoqv3AboDUhnuWrrzSF,115925,4
Justin Townes Earle,Ain’t Got No Money,57,"['alternative country', 'country rock', 'deep new americana', 'folk', 'indie folk', 'nashville americana', 'new americana', 'roots rock', 'stomp and holler']",Modern Eclectic,0.445,0.655,2,-7.402,0,0.0694,0.418,5.19E-06,0.0829,0.62,108.406,1iGzUMnwk5xeDZAnr2pE4Q,spotify:track:1iGzUMnwk5xeDZAnr2pE4Q,https://api.spotify.com/v1/tracks/1iGzUMnwk5xeDZAnr2pE4Q,https://api.spotify.com/v1/audio-analysis/1iGzUMnwk5xeDZAnr2pE4Q,185096,4
Parquet Courts,Human Performance,47,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'freak folk', 'garage psych', 'indie garage rock', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop']",Garage Rock Revival,0.456,0.754,6,-3.875,0,0.0298,0.195,0.485,0.292,0.521,109.825,6gCdeGEhXZbAracd6B977r,spotify:track:6gCdeGEhXZbAracd6B977r,https://api.spotify.com/v1/tracks/6gCdeGEhXZbAracd6B977r,https://api.spotify.com/v1/audio-analysis/6gCdeGEhXZbAracd6B977r,255880,4
The Replacements,I Will Dare,47,"['alternative pop', 'alternative rock', 'art rock', 'indie rock', 'new wave', 'permanent wave', 'pop rock', 'post-punk', 'power pop', 'punk', 'rock', 'roots rock']",Alternative 80s,0.456,0.857,7,-5.854,1,0.0833,0.00157,0.0344,0.333,0.559,167.709,1MV5BzujqyRQ417qj0rXNS,spotify:track:1MV5BzujqyRQ417qj0rXNS,https://api.spotify.com/v1/tracks/1MV5BzujqyRQ417qj0rXNS,https://api.spotify.com/v1/audio-analysis/1MV5BzujqyRQ417qj0rXNS,197427,4
Mourn,Fun at the Geysers,25,['spanish post-punk'],pulp,0.456,0.961,7,-4.353,1,0.0772,0.000288,0.00201,0.366,0.712,76.547,2XC3UsKero8x1dAgOdwhNg,spotify:track:2XC3UsKero8x1dAgOdwhNg,https://api.spotify.com/v1/tracks/2XC3UsKero8x1dAgOdwhNg,https://api.spotify.com/v1/audio-analysis/2XC3UsKero8x1dAgOdwhNg,118720,4
