Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
James,Laid,66,"['britpop', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",Alternative 90s,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,2CdS3DRqWR5LAhy4hM5X9W,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,156667,4
tøm hughes,obvious,30,[],Lo-fi Indie,0.626,0.287,5,-19.453,0,0.415,0.898,0,0.229,0.268,107.815,4CsSN0KzU3bqhkrA7P3kIw,spotify:track:4CsSN0KzU3bqhkrA7P3kIw,https://api.spotify.com/v1/tracks/4CsSN0KzU3bqhkrA7P3kIw,https://api.spotify.com/v1/audio-analysis/4CsSN0KzU3bqhkrA7P3kIw,189239,4
Amnesia Scanner,AS Too Wrong,38,"['art pop', 'deconstructed club', 'escape room', 'finnish electronic', 'fluxwork', 'grimewave']",Terra Incognita,0.568,0.815,2,-5.798,1,0.0528,0.00555,0.0212,0.354,0.134,102.023,0rCbNEFbEJPWffx6BmRH9Z,spotify:track:0rCbNEFbEJPWffx6BmRH9Z,https://api.spotify.com/v1/tracks/0rCbNEFbEJPWffx6BmRH9Z,https://api.spotify.com/v1/audio-analysis/0rCbNEFbEJPWffx6BmRH9Z,254500,4
Lisel,In the Dome,13,[],Ambiente,0.317,0.479,2,-10.785,1,0.0341,0.835,0.543,0.0978,0.112,88.383,1WUXUrTgHIYK2F2pb5bvS7,spotify:track:1WUXUrTgHIYK2F2pb5bvS7,https://api.spotify.com/v1/tracks/1WUXUrTgHIYK2F2pb5bvS7,https://api.spotify.com/v1/audio-analysis/1WUXUrTgHIYK2F2pb5bvS7,176695,4
beabadoobee,Worth It,51,"['bedroom pop', 'bubblegrunge', 'indie pop']",Women of Indie,0.576,0.751,2,-5.256,1,0.0269,0.0125,0.000459,0.0501,0.38,103.009,3r1qdSsvJEwiMKHeCWapMM,spotify:track:3r1qdSsvJEwiMKHeCWapMM,https://api.spotify.com/v1/tracks/3r1qdSsvJEwiMKHeCWapMM,https://api.spotify.com/v1/audio-analysis/3r1qdSsvJEwiMKHeCWapMM,194173,4
Tennis,Runner,46,"['art pop', 'chillwave', 'denver indie', 'indie pop', 'indie rock', 'indie surf', 'shimmer pop']",Ethereal,0.531,0.831,7,-6.179,1,0.0412,0.0886,0.00266,0.106,0.667,157.266,7bX13zMKDuZi9pwf2XxxKg,spotify:track:7bX13zMKDuZi9pwf2XxxKg,https://api.spotify.com/v1/tracks/7bX13zMKDuZi9pwf2XxxKg,https://api.spotify.com/v1/audio-analysis/7bX13zMKDuZi9pwf2XxxKg,216960,4
Foals,My Number,68,"['alternative dance', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",Indie Workout,0.639,0.715,6,-8.954,0,0.0392,0.0243,0.000552,0.619,0.813,128.072,04caEZhAsQKnWqKsMwk9ud,spotify:track:04caEZhAsQKnWqKsMwk9ud,https://api.spotify.com/v1/tracks/04caEZhAsQKnWqKsMwk9ud,https://api.spotify.com/v1/audio-analysis/04caEZhAsQKnWqKsMwk9ud,238853,4
Garden City Movement,She's so Untouchable - Original Mix,33,['israeli indie'],Indie TLV,0.747,0.779,4,-4.937,0,0.05,0.0988,0.0549,0.178,0.687,102.012,5pHwg7ezzqFF5VIuIeSJhd,spotify:track:5pHwg7ezzqFF5VIuIeSJhd,https://api.spotify.com/v1/tracks/5pHwg7ezzqFF5VIuIeSJhd,https://api.spotify.com/v1/audio-analysis/5pHwg7ezzqFF5VIuIeSJhd,224350,4
Claud,Guard Down,53,"['bedroom pop', 'indie pop']",Ultimate Indie,0.816,0.625,0,-6.477,1,0.0391,0.11,0.000796,0.0935,0.855,126.022,6S8yc3BtzAFvFhjbnL8bTT,spotify:track:6S8yc3BtzAFvFhjbnL8bTT,https://api.spotify.com/v1/tracks/6S8yc3BtzAFvFhjbnL8bTT,https://api.spotify.com/v1/audio-analysis/6S8yc3BtzAFvFhjbnL8bTT,206882,4
Snapped Ankles,Rhythm Is Our Business - Edit,36,"['chamber psych', 'garage psych', 'london indie']",Post Punk 2k,0.571,0.911,0,-6.862,1,0.0399,0.00911,0.336,0.254,0.747,179.864,0nSKPt85T4Y3PFKe9U1AoJ,spotify:track:0nSKPt85T4Y3PFKe9U1AoJ,https://api.spotify.com/v1/tracks/0nSKPt85T4Y3PFKe9U1AoJ,https://api.spotify.com/v1/audio-analysis/0nSKPt85T4Y3PFKe9U1AoJ,223000,4
